	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58
PrileiEVm000001t1	7	6	4	3	4	1	2	0	1	6	0	0	0	0	3	8	2	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PrileiEVm000002t1	12	13	14	3	3113	6	15	186	13	28	1	5	1	0	26	41	6	4	2	19	2	9	4	18	0	0	25	1	8	4	0	4	2	156	6	0	18	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1
PrileiEVm000003t1	4	7	3	0	7	1	2	0	5	7	0	0	1	1	4	8	2	0	1	2	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000004t1	36	0	1	0	0	0	0	1	2	2	0	3	0	13	1	3	0	0	1	1	2	0	0	5	1	1	4	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000005t1	2	2	2	0	43	12	40	0	3	1	0	0	0	0	3	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0	10	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000006t1	1	1	1	0	0	0	0	0	0	0	0	0	23	0	1	1	0	0	0	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
PrileiEVm000007t1	26	5	8	1	3	4	3	0	3	37	2	3	0	3	12	24	0	0	6	22	0	0	1	5	1	0	3	0	0	0	0	8	0	0	3	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PrileiEVm000008t1	0	0	0	1	1	18	6	0	2	1	1	0	1	0	4	1	0	0	4	1	0	0	0	2	0	0	0	0	0	1	13	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000009t1	2	0	1	0	0	0	0	0	0	1	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000010t1	29	0	3	0	1	0	0	0	0	1	0	4	0	13	2	1	0	0	0	0	2	0	1	0	3	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PrileiEVm000011t1	14	1	0	1	0	5	5	2	2	1	1	1	1	1	1	1	1	0	0	0	3	3	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000012t1	14	19	10	1	5	0	0	0	4	7	0	2	0	1	4	5	0	1	1	4	2	1	0	7	0	0	0	0	3	1	2	3	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000013t1	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
PrileiEVm000014t1	3	9	4	8	5	24	113	2	5	5	1	1	0	1	2	7	0	0	1	0	0	0	0	3	0	0	3	1	4	2	17	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PrileiEVm000015t1	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000016t1	10	3	9	0	3	2	2	1	6	14	0	0	0	2	8	15	4	0	2	3	0	1	5	5	0	0	5	0	2	0	4	3	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PrileiEVm000017t1	2	4	0	0	3	1	4	0	1	3	0	1	0	1	3	4	5	0	0	1	0	0	0	0	0	0	3	0	1	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PrileiEVm000018t1	18	12	17	0	5	2	9	6	11	66	2	2	0	4	46	52	19	0	1	44	2	1	0	15	0	1	3	0	14	0	2	11	0	0	0	0	0	0	1	2	1	1	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	2	0
PrileiEVm000019t1	112	1	2	0	1	1	0	0	2	1	5	21	2	14	3	3	0	0	7	2	13	0	0	2	2	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0
PrileiEVm000020t1	37	0	1	0	2	0	1	0	0	3	1	3	0	14	1	0	0	0	3	0	4	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
