	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000001t1	3	2	18	17	116	30	69	5	17	7	1	61	71	165	32	4	12	9
PrileiEVm000002t1	25	52	94	3236	525	28702	413	171	199	50	162	395	244	610	125	47	63	73
PrileiEVm000003t1	2	1	6	24	88	31	84	2	25	5	1	45	25	264	11	0	7	11
PrileiEVm000004t1	0	1	7	8	975	13	30	0	8	7	0	27	15	26	22	4	10	7
PrileiEVm000005t1	2	5	5	7	29	296	30	2	6	0	50	1260	17	186	9	2	7	1
PrileiEVm000006t1	3	3	7	7	46	11	37	1	7	3	0	29	21	32	961	4	6	2
PrileiEVm000007t1	5	16	44	33	646	55	323	6	13	4	13	205	36	267	79	14	24	25
PrileiEVm000008t1	3	1	9	7	34	10	21	3	2	0	10	861	23	66	8	3	1	4
PrileiEVm000009t1	0	0	1	0	8	4	281	1	0	0	0	4	4	12	5	0	2	1
PrileiEVm000010t1	0	0	14	2	599	16	15	0	3	3	2	8	8	36	8	3	8	0
PrileiEVm000011t1	2	0	72	45	411	7	29	5	3	1	8	268	19	96	34	4	6	4
PrileiEVm000012t1	9	4	26	28	199	36	101	2	23	3	4	92	61	551	31	7	19	15
PrileiEVm000013t1	1	0	4	5	9	2	5	0	2	3	0	8	73	11	4	3	5	1
PrileiEVm000014t1	3	7	8	25	87	28	52	3	14	3	1	2041	211	215	16	1	21	4
PrileiEVm000015t1	1	2	343	6	52	8	14	1	2	1	1	13	6	41	9	0	2	3
PrileiEVm000016t1	1	9	17	19	118	34	144	1	9	14	2	110	95	313	35	4	8	22
PrileiEVm000017t1	0	8	16	15	92	74	88	3	8	5	1	163	18	141	14	2	8	2
PrileiEVm000018t1	0	9	17	73	367	82	654	3	25	6	6	152	45	448	64	13	21	47
PrileiEVm000019t1	4	4	26	6	2670	37	51	3	11	4	4	38	32	95	67	7	44	13
PrileiEVm000020t1	3	1	8	2	1089	15	32	2	6	2	0	22	17	40	13	4	30	4
PrileiEVm000021t1	3	2	21	24	26	5	91	2	2	0	2	95	50	127	7	1	6	2
PrileiEVm000022t1	3	0	8	16	98	17	60	3	7	5	3	32	47	638	21	2	10	8
PrileiEVm000023t1	1	1	7	7	13	5	16	0	5	0	1	492	14	28	7	0	2	1
PrileiEVm000024t1	0	0	2	6	12	7	469	0	1	0	0	165	13	25	2	1	0	1
PrileiEVm000025t1	3	3	3	5	19	7	849	0	1	2	1	18	12	52	2	2	3	0
PrileiEVm000026t1	0	0	1	3	25	3	8	1	2	2	0	687	11	39	3	2	8	88
PrileiEVm000027t1	1	1	9	17	92	16	41	4	27	4	3	2276	29	106	14	7	8	446
PrileiEVm000028t1	8	7	54	38	221	72	219	12	20	9	3	95	104	480	45	3	23	18
PrileiEVm000029t1	12	21	144	173	596	194	743	19	29	50	7	557	438	1945	190	19	68	66
PrileiEVm000030t1	8	11	59	56	296	58	148	7	21	15	11	135	308	494	80	64	53	28
PrileiEVm000031t1	8	0	4	2	11	2	296	2	3	1	1	16	5	22	201	0	1	2
PrileiEVm000032t1	4	7	28	29	162	31	119	1	5	10	3	53	36	325	20	2	8	7
PrileiEVm000033t1	16	13	88	51	330	74	614	7	20	20	10	150	125	381	114	13	15	53
PrileiEVm000034t1	3	3	6	17	50	26	49	0	14	8	4	2448	51	68	10	6	18	9
PrileiEVm000035t1	3	2	13	3	209	7	199	0	2	7	0	11	18	110	25	1	7	3
PrileiEVm000036t1	4	9	15	12	120	12	41	0	1	4	3	49	35	91	4110	4	32	6
PrileiEVm000037t1	16	7	36	32	290	43	187	3	18	12	1	114	78	785	40	4	31	19
PrileiEVm000038t1	3	3	16	12	96	10	76	7	8	3	0	32	61	167	15	1	8	7
PrileiEVm000039t1	1	1	13	7	1275	14	15	1	5	4	1	21	18	49	29	0	23	1
PrileiEVm000040t1	1	0	15	3	63	20	52	1	5	11	1	19	15	435	9	0	8	12
PrileiEVm000041t1	56	48	1027	100	15084	180	3273	103	117	37	15	4475	269	1007	303	39	293	38
PrileiEVm000042t1	1	8	30	15	2884	39	65	1	8	20	3	78	53	112	72	5	50	4
PrileiEVm000043t1	2	7	12	26	168	21	220	2	7	4	1	51	41	80	91	16	6	10
PrileiEVm000044t1	2	1	53	6	172	8	103	7	11	1	1	282	48	60	31	4	10	5
PrileiEVm000045t1	6	18	36	47	193	58	232	5	18	7	4	202	87	328	70	4	18	20
PrileiEVm000046t1	3	4	19	9	153	14	169	1	5	4	3	23	27	85	47	1	10	8
PrileiEVm000047t1	6	8	58	35	352	78	256	4	8	12	7	99	67	230	46	13	18	39
PrileiEVm000048t1	0	0	14	35	46	13	14	2	5	1	0	60	81	110	19	1	12	9
PrileiEVm000049t1	0	0	1	2	189	2	10	0	11	1	0	11	1	10	3	0	0	0
PrileiEVm000050t1	7	11	27	17	242	53	139	2	12	15	3	84	96	572	39	4	24	27
PrileiEVm000051t1	13	19	87	103	375	81	365	12	21	39	7	280	276	704	97	17	35	90
PrileiEVm000052t1	0	2	0	3	6	4	13	0	0	2	0	108	13	21	2	0	1	0
PrileiEVm000053t1	0	1	1	11	34	16	35	1	6	0	0	5	8	13	6	1	1	3
PrileiEVm000054t1	3	1	55	9	275	94	85	2	4	1	5	66	11	307	23	1	7	1
PrileiEVm000055t1	1	2	43	10	31	4	18	0	5	3	1	621	9	42	6	1	3	1
PrileiEVm000056t1	0	4	11	3	60	8	322	0	0	1	0	5	6	23	92	1	2	2
PrileiEVm000057t1	0	18	17	24	211	82	125	4	11	2	5	124	94	250	42	3	11	21
PrileiEVm000058t1	11	4	35	51	390	100	210	6	16	14	5	107	105	1412	55	9	39	23
PrileiEVm000059t1	2	1	2	6	34	8	79	1	3	1	0	17	5	72	14	1	3	3
PrileiEVm000060t1	2	1	13	11	2722	28	39	6	14	8	0	49	25	64	42	2	30	8
PrileiEVm000061t1	0	1	5	3	23	7	9	1	3	0	1	23	55	26	2	0	2	1
PrileiEVm000062t1	1	0	24	14	63	26	69	0	11	3	0	21	39	131	25	0	9	11
PrileiEVm000063t1	15	15	122	75	535	124	512	6	28	29	10	182	137	808	84	22	42	82
PrileiEVm000064t1	0	0	1	3	8	1	82	0	1	6	0	6	1	3	1	0	2	0
PrileiEVm000065t1	2	0	0	5	18	10	160	1	1	2	0	5	12	100	25	0	6	4
PrileiEVm000066t1	7	9	28	29	189	65	187	0	19	10	3	96	67	958	30	6	31	8
PrileiEVm000067t1	4	7	12	26	151	26	193	4	11	10	3	95	63	231	29	3	6	14
PrileiEVm000068t1	0	0	1	2	15	396	10	0	2	2	0	10	5	20	3	0	1	0
PrileiEVm000069t1	2	5	1	7	25	10	15	0	6	3	1	1087	23	33	10	1	7	2
PrileiEVm000070t1	4	1	15	10	134	17	33	1	43	4	1	19	15	1171	9	0	31	2
PrileiEVm000071t1	2	1	14	4	871	7	25	0	7	3	3	19	13	50	21	2	12	1
PrileiEVm000072t1	10	22	105	82	399	91	386	6	47	35	13	241	154	1241	77	25	48	44
PrileiEVm000073t1	18	12	47	15	55	25	882	2	10	11	3	1632	26	237	7	2	16	5
PrileiEVm000074t1	1	0	13	26	101	32	81	1	3	5	5	72	58	143	31	5	4	5
