	arginase+ cells	carbohydrate metabolic cells	chaetal sacs	eleocytes	epidermis	globin+ cells	gut	ldlrr+ cells	lipoxygenase+ cells	lumbrokinase+ cells	metanephridia	muscle	neurons	piwi+ cells	polycystin cells	secretory	unnanotated	vigilin+ cells
PrileiEVm000001t1	0	0	8	10	30	9	23	2	6	4	0	31	27	112	13	0	7	1
PrileiEVm000002t1	9	4	40	398	100	5439	72	3	26	3	58	138	82	211	41	3	12	0
PrileiEVm000003t1	1	1	4	11	23	8	40	0	17	3	1	19	13	201	5	0	3	1
PrileiEVm000004t1	0	0	2	2	156	3	12	0	1	1	0	4	5	7	6	0	2	0
PrileiEVm000005t1	0	4	4	3	8	95	10	0	1	0	22	807	10	118	5	1	4	0
PrileiEVm000006t1	0	0	4	2	9	2	18	0	3	0	0	17	16	21	536	0	2	0
PrileiEVm000007t1	2	8	25	5	174	12	141	4	5	1	8	64	11	167	35	3	8	1
PrileiEVm000008t1	1	0	3	3	8	2	8	1	0	0	6	582	6	50	3	0	0	0
PrileiEVm000009t1	0	0	1	0	3	1	56	0	0	0	0	2	1	9	4	0	0	0
PrileiEVm000010t1	0	0	7	1	110	4	8	0	0	2	1	2	6	18	2	0	3	0
PrileiEVm000011t1	1	0	28	10	98	1	14	2	1	0	4	148	6	59	9	0	5	0
PrileiEVm000012t1	4	2	17	15	60	12	53	1	14	1	2	51	32	400	20	1	5	1
PrileiEVm000013t1	0	0	3	1	0	2	3	0	1	0	0	4	19	7	1	1	2	0
PrileiEVm000014t1	1	2	4	11	20	4	19	1	4	0	1	1199	114	156	11	0	14	1
PrileiEVm000015t1	1	0	159	1	29	0	6	0	0	0	0	7	3	29	4	0	2	1
PrileiEVm000016t1	1	1	9	11	36	7	67	0	7	5	1	58	44	242	14	1	1	2
PrileiEVm000017t1	0	4	8	7	18	14	36	0	3	2	0	61	6	93	1	0	2	0
PrileiEVm000018t1	0	3	9	39	120	21	231	1	21	1	5	90	27	324	32	6	8	0
PrileiEVm000019t1	1	1	3	2	508	5	13	2	2	0	2	12	10	63	10	0	4	0
PrileiEVm000020t1	0	0	0	0	185	0	6	0	3	0	0	8	6	23	3	0	3	0
PrileiEVm000021t1	2	2	13	15	10	2	34	1	1	0	1	38	21	92	6	0	3	0
PrileiEVm000022t1	3	0	7	9	41	3	40	3	5	2	3	19	30	491	15	1	9	4
PrileiEVm000023t1	1	1	1	6	2	2	7	0	3	0	0	288	8	22	3	0	2	0
PrileiEVm000024t1	0	0	2	3	6	2	464	0	1	0	0	54	3	16	1	1	0	0
PrileiEVm000025t1	2	2	3	2	1	0	320	0	0	0	1	9	3	36	2	0	1	0
PrileiEVm000026t1	0	0	0	1	3	2	2	0	0	1	0	293	4	23	3	0	3	21
PrileiEVm000027t1	0	0	5	5	20	3	12	1	7	1	2	922	9	60	6	1	0	16
PrileiEVm000028t1	4	2	41	11	54	19	106	7	11	2	2	43	47	338	21	1	11	0
PrileiEVm000029t1	5	12	102	82	234	64	395	14	16	18	6	310	208	1511	121	5	46	12
PrileiEVm000030t1	1	8	40	17	61	14	60	3	7	6	3	58	115	316	30	3	23	2
PrileiEVm000031t1	2	0	4	0	3	0	119	2	3	0	0	7	1	15	121	0	0	0
PrileiEVm000032t1	2	5	20	18	39	13	43	0	2	1	2	16	18	242	12	0	4	0
PrileiEVm000033t1	8	7	66	23	76	9	288	3	13	3	6	75	61	263	71	1	8	4
PrileiEVm000034t1	0	1	4	3	11	6	14	0	1	1	1	913	11	37	7	2	6	1
PrileiEVm000035t1	3	1	6	1	54	1	88	0	2	3	0	2	8	75	5	0	2	0
