id genecolor
PrileiEVm000001t1 #FA9E42
PrileiEVm000002t1 #FD6B6B
PrileiEVm000003t1 #ECE44C
PrileiEVm000004t1 #78A4D0
PrileiEVm000005t1 #D26666
PrileiEVm000006t1 #FFAE7D
PrileiEVm000007t1 #021AE0
PrileiEVm000008t1 #B22222
PrileiEVm000009t1 #4D9385
PrileiEVm000010t1 #78A4D0
PrileiEVm000011t1 #004370
PrileiEVm000012t1 #585858
PrileiEVm000013t1 #FFCC33
PrileiEVm000014t1 #6A1414
PrileiEVm000015t1 #004370
PrileiEVm000016t1 #FA9E42
PrileiEVm000017t1 #D26666
PrileiEVm000018t1 #8B8B00
PrileiEVm000019t1 #021AE0
PrileiEVm000020t1 #1E90FF
PrileiEVm000021t1 #ECE44C
PrileiEVm000022t1 #585858
PrileiEVm000023t1 #B22222
PrileiEVm000024t1 #074722
PrileiEVm000025t1 #8B8B00
PrileiEVm000026t1 #6A1414
PrileiEVm000027t1 #6A1414
PrileiEVm000028t1 #CF9356
PrileiEVm000029t1 #E066FF
PrileiEVm000030t1 #7F6FAF
PrileiEVm000031t1 #FFAE7D
PrileiEVm000032t1 #1E90FF
PrileiEVm000033t1 #BCEE68
PrileiEVm000034t1 #B22222
PrileiEVm000035t1 #BCEE68
PrileiEVm000036t1 #FFBE96
PrileiEVm000037t1 #ECE44C
PrileiEVm000038t1 #FA9E42
PrileiEVm000039t1 #1E90FF
PrileiEVm000040t1 #FEE391
PrileiEVm000041t1 #93C5FB
PrileiEVm000042t1 #021AE0
PrileiEVm000043t1 #7F6FAF
PrileiEVm000044t1 #D26666
PrileiEVm000045t1 #FF8BC9
PrileiEVm000046t1 #ECE44C
PrileiEVm000047t1 #021AE0
PrileiEVm000048t1 #EC7014
PrileiEVm000049t1 #93C5FB
PrileiEVm000050t1 #ECE44C
PrileiEVm000051t1 #FA9E42
PrileiEVm000052t1 #ECE44C
PrileiEVm000053t1 #4565B2
PrileiEVm000054t1 #D26666
PrileiEVm000055t1 #B22222
PrileiEVm000056t1 #8B8B00
PrileiEVm000057t1 #FFCC33
PrileiEVm000058t1 #585858
PrileiEVm000059t1 #82B3A9
PrileiEVm000060t1 #021AE0
PrileiEVm000061t1 #FEC960
PrileiEVm000062t1 #FFE7A3
PrileiEVm000063t1 #FA9E42
PrileiEVm000064t1 #074722
PrileiEVm000065t1 #82B3A9
PrileiEVm000066t1 #585858
PrileiEVm000067t1 #FF8BC9
PrileiEVm000068t1 #FDA8A8
PrileiEVm000069t1 #B22222
PrileiEVm000070t1 #585858
PrileiEVm000071t1 #1E90FF
PrileiEVm000072t1 #4565B2
PrileiEVm000073t1 #D26666
PrileiEVm000074t1 #FFCC33
PrileiEVm000075t1 #FF8BC9
PrileiEVm000076t1 #EE5C42
PrileiEVm000077t1 #B22222
PrileiEVm000078t1 #FFE7A3
PrileiEVm000079t1 #7F6FAF
PrileiEVm000080t1 #FEE391
PrileiEVm000081t1 #FA9E42
PrileiEVm000082t1 #BCEE68
PrileiEVm000083t1 #FEE391
PrileiEVm000084t1 #6A1414
PrileiEVm000085t1 #D26666
PrileiEVm000086t1 #D26666
PrileiEVm000087t1 #79882D
PrileiEVm000088t1 #FFBE96
PrileiEVm000089t1 #021AE0
PrileiEVm000090t1 #FFE7A3
PrileiEVm000091t1 #CF9356
PrileiEVm000092t1 #FA9E42
PrileiEVm000093t1 #78A4D0
PrileiEVm000094t1 #FEE391
PrileiEVm000095t1 #EE5C42
PrileiEVm000096t1 #FFCC33
PrileiEVm000097t1 #B22222
PrileiEVm000098t1 #D26666
PrileiEVm000099t1 #FFAE7D
PrileiEVm000100t1 #FEE391
PrileiEVm000101t1 #FFE7A3
PrileiEVm000102t1 #004370
PrileiEVm000103t1 #FFAE7D
PrileiEVm000104t1 #ECE44C
PrileiEVm000105t1 #585858
PrileiEVm000106t1 #FA9E42
PrileiEVm000107t1 #CF9356
PrileiEVm000108t1 #ECE44C
PrileiEVm000109t1 #4D9385
PrileiEVm000110t1 #585858
PrileiEVm000111t1 #78A4D0
PrileiEVm000112t1 #EC7014
PrileiEVm000113t1 #FEE391
PrileiEVm000114t1 #FFE7A3
PrileiEVm000115t1 #EE5C42
PrileiEVm000116t1 #ECE44C
PrileiEVm000117t1 #D26666
PrileiEVm000118t1 #FFE7A3
PrileiEVm000119t1 #FF8BC9
PrileiEVm000120t1 #FFCC33
PrileiEVm000121t1 #FA9E42
PrileiEVm000122t1 #ECE44C
PrileiEVm000123t1 #FA9E42
PrileiEVm000124t1 #EE5C42
PrileiEVm000125t1 #F3C9DE
PrileiEVm000126t1 #ECE44C
PrileiEVm000127t1 #074722
PrileiEVm000128t1 #82B3A9
PrileiEVm000129t1 #8B8B00
PrileiEVm000130t1 #EE5C42
PrileiEVm000131t1 #78A4D0
PrileiEVm000132t1 #8B8B00
PrileiEVm000133t1 #FEC960
PrileiEVm000134t1 #FFCC33
PrileiEVm000135t1 #1E90FF
PrileiEVm000136t1 #EC7014
PrileiEVm000137t1 #CF9356
PrileiEVm000138t1 #FF8BC9
PrileiEVm000139t1 #D26666
PrileiEVm000140t1 #FA9E42
PrileiEVm000141t1 #FFBE96
PrileiEVm000142t1 #021AE0
PrileiEVm000143t1 #FFBE96
PrileiEVm000144t1 #FEC960
PrileiEVm000145t1 #004370
PrileiEVm000146t1 #82B3A9
PrileiEVm000147t1 #A2B63C
PrileiEVm000148t1 #FFE7A3
PrileiEVm000149t1 #585858
PrileiEVm000150t1 #ECE44C
PrileiEVm000151t1 #FFBE96
PrileiEVm000152t1 #E066FF
PrileiEVm000153t1 #ECE44C
PrileiEVm000154t1 #ECE44C
PrileiEVm000155t1 #FF8BC9
PrileiEVm000156t1 #FF8BC9
PrileiEVm000157t1 #FA9E42
PrileiEVm000158t1 #8DFFCF
PrileiEVm000159t1 #EC7014
PrileiEVm000160t1 #B5D6EA
PrileiEVm000161t1 #021AE0
PrileiEVm000162t1 #D26666
PrileiEVm000163t1 #FFCC33
PrileiEVm000164t1 #CF9356
PrileiEVm000165t1 #FEE391
PrileiEVm000166t1 #B5B5B5
PrileiEVm000167t1 #F3C9DE
PrileiEVm000168t1 #FFE7A3
PrileiEVm000169t1 #32CD32
PrileiEVm000170t1 #585858
PrileiEVm000171t1 #E066FF
PrileiEVm000172t1 #FFCC33
PrileiEVm000173t1 #ECE44C
PrileiEVm000174t1 #E066FF
PrileiEVm000175t1 #228B22
PrileiEVm000176t1 #6A1414
PrileiEVm000177t1 #6A1414
PrileiEVm000178t1 #9D9D9D
PrileiEVm000179t1 #FEC960
PrileiEVm000180t1 #32CD32
PrileiEVm000181t1 #585858
PrileiEVm000182t1 #CF9356
PrileiEVm000183t1 #8DFFCF
PrileiEVm000184t1 #FFE7A3
PrileiEVm000185t1 #ECE44C
PrileiEVm000186t1 #6D4C2B
PrileiEVm000187t1 #78A4D0
PrileiEVm000188t1 #CF9356
PrileiEVm000189t1 #FA9E42
PrileiEVm000190t1 #ECE44C
PrileiEVm000191t1 #FA9E42
PrileiEVm000192t1 #FF8BC9
PrileiEVm000193t1 #FFCC33
PrileiEVm000194t1 #4565B2
PrileiEVm000195t1 #EE5C42
PrileiEVm000196t1 #FEC960
PrileiEVm000197t1 #8B8B00
PrileiEVm000198t1 #D26666
PrileiEVm000199t1 #82B3A9
PrileiEVm000200t1 #CF9356
PrileiEVm000201t1 #ECE44C
PrileiEVm000202t1 #D26666
PrileiEVm000203t1 #78A4D0
PrileiEVm000204t1 #FFCC33
PrileiEVm000205t1 #FEE391
PrileiEVm000206t1 #7F6FAF
PrileiEVm000207t1 #004370
PrileiEVm000208t1 #DDCDCC
PrileiEVm000209t1 #E066FF
PrileiEVm000210t1 #FFBE96
PrileiEVm000211t1 #FFAE7D
PrileiEVm000212t1 #ECE44C
PrileiEVm000213t1 #82B3A9
PrileiEVm000214t1 #ECE44C
PrileiEVm000215t1 #ECE44C
PrileiEVm000216t1 #EC7014
PrileiEVm000217t1 #6D4C2B
PrileiEVm000218t1 #FA9E42
PrileiEVm000219t1 #D26666
PrileiEVm000220t1 #FEE391
PrileiEVm000221t1 #FDA8A8
PrileiEVm000222t1 #4565B2
PrileiEVm000223t1 #FFBE96
PrileiEVm000224t1 #FFCC33
PrileiEVm000225t1 #78A4D0
PrileiEVm000226t1 #D26666
PrileiEVm000227t1 #ECE44C
PrileiEVm000228t1 #585858
PrileiEVm000229t1 #32CD32
PrileiEVm000230t1 #EC7014
PrileiEVm000231t1 #D26666
PrileiEVm000232t1 #93C5FB
PrileiEVm000233t1 #4565B2
PrileiEVm000234t1 #CF9356
PrileiEVm000235t1 #93C5FB
PrileiEVm000236t1 #EC7014
PrileiEVm000237t1 #B22222
PrileiEVm000238t1 #ECE44C
PrileiEVm000239t1 #EE5C42
PrileiEVm000240t1 #8B8B00
PrileiEVm000241t1 #EE5C42
PrileiEVm000242t1 #DDCDCC
PrileiEVm000243t1 #FFE7A3
PrileiEVm000244t1 #FEE391
PrileiEVm000245t1 #E066FF
PrileiEVm000246t1 #CF9356
PrileiEVm000247t1 #585858
PrileiEVm000248t1 #8B8B00
PrileiEVm000249t1 #FF8BC9
PrileiEVm000250t1 #FFCC33
PrileiEVm000251t1 #074722
PrileiEVm000252t1 #ECE44C
PrileiEVm000253t1 #D26666
PrileiEVm000254t1 #7F6FAF
PrileiEVm000255t1 #FA9E42
PrileiEVm000256t1 #021AE0
PrileiEVm000257t1 #FFAE7D
PrileiEVm000258t1 #8B8B00
PrileiEVm000259t1 #DDCDCC
PrileiEVm000260t1 #FFE7A3
PrileiEVm000261t1 #FA9E42
PrileiEVm000262t1 #ECE44C
PrileiEVm000263t1 #ECE44C
PrileiEVm000264t1 #EE5C42
PrileiEVm000265t1 #B5B5B5
PrileiEVm000266t1 #E066FF
PrileiEVm000267t1 #FEE391
PrileiEVm000268t1 #D26666
PrileiEVm000269t1 #FA9E42
PrileiEVm000270t1 #6BAED6
PrileiEVm000271t1 #CF9356
PrileiEVm000272t1 #BCEE68
PrileiEVm000273t1 #FFCC33
PrileiEVm000274t1 #6A1414
PrileiEVm000275t1 #F3C9DE
PrileiEVm000276t1 #FF8BC9
PrileiEVm000277t1 #FFE7A3
PrileiEVm000278t1 #6D4C2B
PrileiEVm000279t1 #ECE44C
PrileiEVm000280t1 #FFCC33
PrileiEVm000281t1 #585858
PrileiEVm000282t1 #4565B2
PrileiEVm000283t1 #56A0CE
PrileiEVm000284t1 #E066FF
PrileiEVm000285t1 #FFCC33
PrileiEVm000286t1 #82B3A9
PrileiEVm000287t1 #56A0CE
PrileiEVm000288t1 #585858
PrileiEVm000289t1 #FA9E42
PrileiEVm000290t1 #D26666
PrileiEVm000291t1 #ECE44C
PrileiEVm000292t1 #8DFFCF
PrileiEVm000293t1 #E066FF
PrileiEVm000294t1 #CF9356
PrileiEVm000295t1 #FFE7A3
PrileiEVm000296t1 #82B3A9
PrileiEVm000297t1 #4565B2
PrileiEVm000298t1 #EE5C42
PrileiEVm000299t1 #D26666
PrileiEVm000300t1 #6A1414
PrileiEVm000301t1 #CF9356
PrileiEVm000302t1 #7F6FAF
PrileiEVm000303t1 #CF9356
PrileiEVm000304t1 #FFCC33
