wgcna_module	wgcna_color	newname	newcolor	module_humanfriendly
brown	brown	01_piwi_pos_cells_1	#585858	module_piwi
turquoise	turquoise	11_epidermis_2	#93C5FB	module_epidermis2
skyblue3	skyblue3	25_epidermis_6	#1E90FF	module_epidermis6
paleturquoise	paleturquoise	31_crop	#074722	module_crop
greenyellow	greenyellow	15_foregut	#228B22	module_foregut
darkmagenta	darkmagenta	09_foremid_gut_1	#32CD32	module_foremidgut1
midnightblue	midnightblue	28_foremid_gut_2	#A2B63C	module_foremidgut2
yellowgreen	yellowgreen	14_stomach_1	#4D9385	module_stomach1
darkorange	darkorange	39_stomach_2a	#79882D	module_stomach2a
plum1	plum1	39_stomach_2b	#7e874c	module_stomach2b
grey60	grey60	19_posterior_gut	#8B8B00	module_posteriorgut
darkturquoise	darkturquoise	38_caveolin_pos_cells	#82B3A9	module_caveolin
red	red	cilia	red	module_cilia
lightcyan	lightcyan	06_muscle_2	#6A1414	module_muscle2
darkgrey	darkgrey	27_muscle_3	#EE5C42	module_muscle3
tan	tan	30_muscle_4	#D26666	module_muscle4
darkred	darkred	03_neurons_1	#FEC960	module_neurons1
royalblue	royalblue	40_neurons_2	#FEE391	module_neurons2
cyan	cyan	41_neurons_3	#EC7014	module_neurons3
green	green	42_neurons_4	#FFE7A3	module_neurons4
pink	pink	45_neurons_5	#FFCC33	module_neurons5
black	black	49_neurons_6	#FA9E42	module_neurons6
yellow	yellow	59_neurons_7	#ECE44C	module_neurons7
purple	purple	04_globin_pos_cells_1	#FD6B6B	module_globin
white	white	10_polycystin2_pos_cells	#FFBE96	module_polycistin2
skyblue	skyblue	12_polycystin1_pos_cells	#FFAE7D	module_polycistin1
steelblue	steelblue	07_mmp24_pos_cells	#F3C9DE	module_mmp24
magenta	magenta	36_fucolectin_pos_cells	#E066FF	module_fucolectin
blue	blue	55_pgrn_pos_cells	#FF8BC9	module_pgrn
violet	violet	21_chaetal_sacs_1	#004370	module_chaetal1
saddlebrown	saddlebrown	22_chaetal_sacs_2	#002E4E	module_chaetal2
sienna3	sienna3	17_lipoxygenase_pos_cells	#6D4C2B	module_lipoxygenase
orangered4	orangered4	23_vigilin_pos_cells	#B3A982	module_vigilin
orange	orange	26_lumbrokinase_pos_cells	#FF2F80	module_lumbrokinase
darkolivegreen	darkolivegreen	29_carbohydrate_metabolic_cells	#CCDCDD	module_carbmetabol
mediumpurple3	mediumpurple3	34_secretory_1	#6841A8	module_secretory1
salmon	salmon	44_secretory_2	#7F6FAF	module_secretory2
darkgreen	darkgreen	32_arginase_pos_cells	#DDCDCC	module_arginase
lightyellow	lightyellow	35_ldlrr_pos_cells	#CF9356	module_ldrr
lightgreen	lightgreen	37_metanephridia	#8DFFCF	module_metanephridia
