logFC	AveExpr	t	P.Value	adj.P.Val	B	rank	DGE.pval	DGE.padj
PrileiEVm016887t1	4.11108193393597	4.76437640854069	8.44099621598573	0.000000000018725800809714	0.000000157334178403217	15.7296947462759	441018.764692821	up	UP
PrileiEVm015321t1	3.28563391001639	5.24358321432032	7.70272681079954	0.000000000291327130248248	0.00000122386527417289	13.1603921484783	313305.533667799	up	UP
PrileiEVm020072t1	3.26783670014931	4.58649387724411	7.52687709711601	0.00000000056220230307257	0.00000138395336895445	12.5312891814186	302278.403754743	up	UP
PrileiEVm003492t1	3.11481314475085	4.95571957125398	7.48447320123211	0.00000000065886854032585	0.00000138395336895445	12.387535483396	285977.262716419	up	UP
PrileiEVm001444t1	3.49889842474331	5.21225266609409	7.14224590093429	0.00000000237372807034679	0.00000326153798238945	11.1854471457871	301764.910087614	up	UP
PrileiEVm006090t1	3.4394779536447	5.05709724222913	7.12145902867422	0.00000000256599710508288	0.00000326153798238945	11.110093441184	295476.740359519	up	UP
PrileiEVm003180t1	3.23904279278135	4.90707319113032	7.10616838610788	0.00000000271730134214784	0.00000326153798238945	11.0540144836168	277451.942121909	up	UP
PrileiEVm016331t1	4.0969579943561	4.37277965192249	6.93782145768381	0.00000000510568941124165	0.00000514030738032205	10.4562106441776	339717.528461679	up	UP
PrileiEVm005477t1	3.23988952613908	5.02865823996134	6.89178853381106	0.00000000606644822813136	0.00000514030738032205	10.2986384911836	266223.844632268	up	UP
PrileiEVm016472t1	3.40135995969912	5.11875285914718	6.86676883320317	0.00000000666234769090447	0.00000514030738032205	10.2114477095901	278107.867389012	up	UP
PrileiEVm027745t1	3.19465616301739	5.01194435854931	6.86074905286744	0.00000000681423886291722	0.00000514030738032205	10.1887412267745	260894.235839016	up	UP
PrileiEVm004243t1	3.24392158424891	5.33950561507592	6.84084370572232	0.00000000734154826991962	0.00000514030738032205	10.1213149511086	263867.469852041	up	UP
PrileiEVm014193t1	3.41800205818482	6.01140332068833	6.73506898428956	0.0000000109077925872595	0.00000641987961489745	9.75258369030736	272150.317620607	up	UP
PrileiEVm022727t1	2.82434196511528	4.75641232818212	6.72827816416371	0.000000011188502345519	0.00000641987961489745	9.71875646988892	224569.870353357	up	UP
PrileiEVm008150t1	2.76302503115129	4.87160564526125	6.72183876065745	0.0000000114613418499716	0.00000641987961489745	9.69673761875774	219405.311735301	up	UP
PrileiEVm003189t1	3.32337066934677	5.20939354730503	6.6890498766873	0.000000012957060151362	0.00000680407621198395	9.58458166927639	262130.646359002	up	UP
PrileiEVm004478t1	2.86163363856926	5.33105971293524	6.63935549334781	0.0000000156032400144203	0.00000727690125729811	9.40946417455866	223401.591688443	up	UP
PrileiEVm004151t1	2.82961738559522	5.1884798002294	6.61628682417984	0.0000000170085675302619	0.00000727690125729811	9.327047174933	219842.376411462	up	UP
PrileiEVm003114t1	3.33419449536227	4.82174645149614	6.59359889777911	0.0000000185137363247915	0.00000727690125729811	9.24521763609135	257816.786933089	up	UP
PrileiEVm011261t1	3.16491976540439	5.30655419634461	6.59157048300153	0.0000000186546072809986	0.00000727690125729811	9.24124198327969	244623.418094286	up	UP
PrileiEVm001296t1	3.02432716010861	6.09108967859093	6.5815592187416	0.0000000193656889255742	0.00000727690125729811	9.20992011624808	233265.357300265	up	UP
PrileiEVm006112t1	2.73043472653359	4.84190493445917	6.58208877776368	0.000000019327407220736	0.00000727690125729811	9.2040132719083	210620.994847636	up	UP
PrileiEVm008711t1	3.19398382152741	5.19545178994299	6.57400472655891	0.0000000199201057983643	0.00000727690125729811	9.17853815108919	245959.379139361	up	UP
PrileiEVm000178t1	2.64385431015907	5.07355793808135	6.50506807794818	0.000000025769512857576	0.00000902147695955641	8.93436797790536	200639.29559202	up	UP
PrileiEVm014660t1	3.02792179884115	4.81601067194216	6.48694868174544	0.0000000275727501552686	0.00000926664987218268	8.86939630871932	228896.351376696	up	UP
PrileiEVm009860t1	2.89795522927988	4.40826517238205	6.47002317655686	0.0000000293705619000142	0.0000094912100416892	8.80709149100753	218276.530672514	up	UP
PrileiEVm009902t1	3.92020256200231	5.43328100511752	6.40105579924915	0.0000000379861575238675	0.0000118207294635383	8.57171379996498	290893.716556379	up	UP
PrileiEVm001617t1	2.95071954883537	5.28094071150574	6.37393824071386	0.0000000420261086573255	0.0000126108344621017	8.47433058326511	217659.261600167	up	UP
PrileiEVm002683t1	2.90043278378005	4.83937067047742	6.35258762251017	0.0000000455056362585522	0.0000131840812360123	8.39730966290829	212947.884162854	up	UP
PrileiEVm006809t1	2.8974936629028	5.64376340080098	6.34167358750113	0.0000000473936166156924	0.0000132733722268349	8.36239291655531	212220.553168883	up	UP
PrileiEVm024130t1	3.31775967192229	5.39844476344723	6.30222854838217	0.0000000548908051976168	0.0000139408932882425	8.22330405335892	240885.954200232	up	UP
PrileiEVm017191t1	3.39835700960091	8.00982950044751	6.29663150026384	0.0000000560461910476703	0.0000139408932882425	8.20971951129443	246430.291811138	up	UP
PrileiEVm026961t1	2.59905703908507	5.41996419925179	6.29259241147872	0.0000000568949762890242	0.0000139408932882425	8.18880299847817	188299.761238833	up	UP
PrileiEVm035587t1	3.42028910182077	4.57258473884598	6.29217007618362	0.000000056984462418879	0.0000139408932882425	8.18436063571827	247774.072459355	up	UP
PrileiEVm014189t1	2.90506553063767	6.27762733935124	6.2870837984018	0.0000000580732284085321	0.0000139408932882425	8.17253410748194	210211.239883742	up	UP
PrileiEVm006209t1	2.97970474165341	5.9920758629236	6.23796905728811	0.0000000697118957611905	0.0000159340756075078	7.99922477756421	213248.323848894	up	UP
PrileiEVm002451t1	2.70285367232874	5.74104506093331	6.23621054074204	0.0000000701691022944284	0.0000159340756075078	7.99205534162546	193358.20770255	up	UP
PrileiEVm004242t1	3.06748505070235	5.62424108768354	6.22705115513201	0.0000000725991742778998	0.0000160520595337609	7.95986492222592	218989.853438991	up	UP
PrileiEVm016982t1	3.04357046487017	5.8100787537624	6.20501894505549	0.0000000787928566081145	0.0000168283331586165	7.88308961871919	216200.428324442	up	UP
PrileiEVm009895t1	3.88317534539394	5.87316116241589	6.20053662836122	0.0000000801158446018399	0.0000168283331586165	7.86817127040946	275561.056929303	up	UP
PrileiEVm026957t1	2.83817677121254	5.14570221722355	6.14199279908279	0.0000000995655189158296	0.0000204036460958732	7.66008238956513	198726.044999098	up	UP
PrileiEVm003228t1	2.82165231417308	7.2733673030595	6.1005296947429	0.000000116114920647738	0.0000229735821610728	7.5187773181945	195684.747399952	up	UP
PrileiEVm002905t1	2.68213396523534	5.5569928495373	6.08411582406145	0.000000123397493133724	0.0000229735821610728	7.45861487907458	185300.419291213	up	UP
PrileiEVm004929t1	3.17385634899144	5.97008432639589	6.0830411470752	0.000000123889839668737	0.0000229735821610728	7.45600536938311	219217.125246752	up	UP
PrileiEVm004234t1	2.3596434060764	4.94408977709366	6.08156389917796	0.000000124569805132641	0.0000229735821610728	7.4479257358321	162923.636933835	up	UP
PrileiEVm001207t1	2.84210035293114	5.97938022179391	6.07895921873197	0.000000125777764747602	0.0000229735821610728	7.44157579758273	196116.182695558	up	UP
PrileiEVm005297t1	3.209949984356	5.00639183240094	6.05509752402549	0.00000013740000668386	0.000024562443748038	7.35616683576982	220267.193121302	up	UP
PrileiEVm008322t1	2.92362685558914	6.43966393864814	6.02489277520768	0.000000153652997789894	0.0000263467854577692	7.25308822609714	199200.116012937	up	UP
PrileiEVm013611t1	2.49385928226231	5.2215598060471	6.02517620861371	0.000000153491943628118	0.0000263467854577692	7.25189587007888	169929.43711184	up	UP
PrileiEVm006118t1	2.4844515107338	6.65933337867635	5.96109511518764	0.000000194524471044767	0.0000321309289558281	7.03014563607044	166732.180804383	up	UP
PrileiEVm000149t1	2.78178048629812	6.26045265784311	5.96038665598445	0.000000195034203373867	0.0000321309289558281	7.0274763319651	186654.388952835	up	UP
PrileiEVm000566t1	3.55350920411284	5.25804364779892	5.95268267825554	0.000000200663509097441	0.0000321767143661224	6.99968483448003	237997.401758803	up	UP
PrileiEVm007083t1	2.81124028847076	6.08617402535845	5.94683646587565	0.000000205042715738086	0.0000321767143661224	6.98003916665661	188020.126319631	up	UP
PrileiEVm016961t1	3.772789833165	5.13718776501474	5.94452387827508	0.000000206801068289766	0.0000321767143661224	6.97110619888895	252190.145198691	up	UP
PrileiEVm001829t1	2.43661078911012	5.29114953147307	5.93918910793661	0.000000210914601270033	0.0000322200814521967	6.95228575824892	162665.537726446	up	UP
PrileiEVm002303t1	3.00636040399719	6.03711691076895	5.89930282637231	0.000000244354806514992	0.0000366619479346244	6.81437278483669	198779.92200025	up	UP
PrileiEVm002239t1	2.99735687893474	4.83176112729608	5.88900495479682	0.000000253811087715432	0.0000369736324386776	6.7772348567217	197690.355521355	up	UP
PrileiEVm000538t1	2.82210363166842	7.49254932826149	5.88748912400818	0.000000255233358895894	0.0000369736324386776	6.77350776862817	186063.05806047	up	UP
PrileiEVm021042t1	2.61555242833516	7.17149965458848	5.87679344866136	0.000000265496119393164	0.0000373044308525339	6.73621919804973	171997.206020992	up	UP
PrileiEVm010054t1	2.65996776630193	5.47261162432636	5.8758744455017	0.000000266396792567488	0.0000373044308525339	6.73230130527467	174878.809628319	up	UP
PrileiEVm000181t1	2.37969491518356	7.25684940878641	5.86291558270013	0.000000279424641631405	0.0000383183129088366	6.68785977174499	155958.90562656	up	UP
PrileiEVm001944t1	3.28878015903419	5.60547788589888	5.85714359445135	0.00000028542893869055	0.0000383183129088366	6.66743514825827	215234.283195337	up	UP
PrileiEVm033190t1	3.10675807447952	5.10238716652771	5.84390482665679	0.000000299688230705163	0.0000383183129088366	6.62098336497814	202664.091200593	up	UP
PrileiEVm017345t1	2.28439512534395	7.09898630489457	5.84145247651946	0.000000302406139290404	0.0000383183129088366	6.61312935989303	148929.070449451	up	UP
PrileiEVm009248t1	3.77475864206508	8.54324591957761	5.83843054485534	0.000000305788950281554	0.0000383183129088366	6.60194773835664	245909.604048561	up	UP
PrileiEVm019508t1	2.60734165872752	5.4308070931245	5.83623839289841	0.000000308266349431481	0.0000383183129088366	6.59454107953547	169765.941718707	up	UP
PrileiEVm009377t1	3.69138026207576	7.19381622082709	5.83487432226297	0.000000309817951341615	0.0000383183129088366	6.59006030026466	240268.007064398	up	UP
PrileiEVm023594t1	3.69587509190955	6.87713780108282	5.83460779146688	0.000000310122027826814	0.0000383183129088366	6.58922930312991	240544.824944582	up	UP
PrileiEVm014671t1	2.49729712282225	4.93650192725827	5.8049690632392	0.000000345849301659101	0.0000421134178628951	6.48564017512025	161353.191471533	up	UP
PrileiEVm017162t1	2.728668367433	8.1952996666069	5.78829693114315	0.000000367709561428286	0.0000441356533588637	6.42777430762087	175576.03177479	up	UP
PrileiEVm004733t1	2.95688254947032	6.57072135092082	5.77841878206692	0.000000381302169771876	0.0000451225469073705	6.39403521887124	189794.328657663	up	UP
PrileiEVm016477t1	3.55146614111118	4.80196238643054	5.75523079127431	0.000000415197493535822	0.0000470514305988841	6.31354267682915	226645.522721085	up	UP
PrileiEVm010023t1	2.21654220460638	6.00123294284438	5.75280083105905	0.000000418917925773169	0.0000470514305988841	6.30533392786062	141368.203700422	up	UP
PrileiEVm019269t1	2.71381643761923	6.15058715201751	5.75252955478778	0.00000041933531244721	0.0000470514305988841	6.30434636095276	173071.976045907	up	UP
PrileiEVm014246t1	3.50909988858512	4.66863613134706	5.7491280249901	0.000000424604031159756	0.0000470514305988841	6.29234046497712	223600.402391001	up	UP
PrileiEVm002117t1	2.98058543384768	6.0311500961288	5.74848838692706	0.00000042560208587422	0.0000470514305988841	6.29035537767049	189892.986285014	up	UP
PrileiEVm007815t1	3.00459038241023	6.69689531998089	5.74276500555429	0.000000434636619436534	0.0000474261932013735	6.27024298585148	191148.244906544	up	UP
PrileiEVm006075t1	2.5349999717671	5.74985787685791	5.73089835499751	0.000000453978351482402	0.0000489016167840403	6.22949993009994	160794.157321906	up	UP
PrileiEVm001922t1	2.62416598233705	4.75073614052224	5.72060072704374	0.000000471452220465227	0.0000501410323588461	6.19368571611244	166019.496107514	up	UP
PrileiEVm007438t1	2.68695700908713	5.65527322015067	5.71215428259461	0.000000486280974201139	0.0000510716593154746	6.16465670975257	169630.624773223	up	UP
PrileiEVm007620t1	2.58160930953673	5.89329765716791	5.70152251657917	0.000000505604680383682	0.0000524455620318975	6.12783522256974	162542.999161255	up	UP
PrileiEVm006130t1	2.97578059668416	5.41449026893584	5.69776021422953	0.000000512623465903621	0.0000525251507380759	6.11493533524408	187182.596246783	up	UP
PrileiEVm005140t1	2.8977943871685	5.78164718819548	5.69400601406655	0.000000519723319206977	0.000052611028047916	6.10185355298547	182104.00036667	up	UP
PrileiEVm008801t1	2.78065578297186	5.17074699803158	5.68937155284279	0.000000528622352077112	0.0000528748214541892	6.0859857791705	174537.717010787	up	UP
PrileiEVm012335t1	2.78481319806323	5.57530448462712	5.66811145904557	0.000000571418613824705	0.0000564830493335902	6.01248918336538	173857.158294523	up	UP
PrileiEVm013067t1	3.86002618421739	4.11279057203725	5.66130906062106	0.000000585823092614606	0.0000572335537691618	5.98901500654363	240565.845456527	up	UP
PrileiEVm004269t1	3.55550342718686	5.36819944041698	5.65558435762568	0.000000598223667361852	0.0000577732787721182	5.96924738414985	221263.828303679	up	UP
PrileiEVm021007t1	2.32188871932097	6.66214313549185	5.6454264832531	0.00000062087015426749	0.0000592789890472211	5.93353739289045	144119.614617199	up	UP
PrileiEVm001558t1	2.76759378928939	6.64738378985718	5.63630765304316	0.000000641921926801168	0.0000600396012488492	5.9019062771108	171383.737740346	up	UP
PrileiEVm009515t1	2.69024941494576	7.08615060212939	5.63579409864466	0.000000643128316162393	0.0000600396012488492	5.89972014989404	166572.236744701	up	UP
PrileiEVm013330t1	2.93341052240237	7.2557896878542	5.63047867024796	0.000000655747362616816	0.0000605449378099615	5.88106209800265	181380.500595207	up	UP
PrileiEVm007729t1	2.79863050097489	5.11610392222896	5.62560620540237	0.000000667529946315911	0.0000609628979233292	5.86614426969505	172830.245088494	up	UP
PrileiEVm011673t1	2.95579451399821	4.60448088900877	5.61511272501762	0.000000693621560440781	0.0000623153935016185	5.83016211806473	182043.7607792	up	UP
PrileiEVm000472t1	2.69885262610897	5.91663942638411	5.61371473889485	0.000000697172933724368	0.0000623153935016185	5.82464584898424	166159.166105318	up	UP
PrileiEVm018628t1	3.4435016324222	6.27308517181554	5.60905170213006	0.000000709149301139184	0.0000627186571386466	5.8079330717029	211749.948397371	up	UP
PrileiEVm009804t1	3.41509453227735	6.22760342089484	5.60440102012465	0.000000721296699371442	0.0000631284882095714	5.79197193816679	209751.21484717	up	UP
PrileiEVm009449t1	2.39999072822885	5.68157776140121	5.59953153003615	0.000000734236314328517	0.0000635984898246207	5.77606382900681	147219.370606827	up	UP
PrileiEVm003627t1	2.48522997123702	5.22184362928572	5.58593813465214	0.000000771585992819527	0.0000661516888945884	5.72964087176989	151912.556533873	up	UP
PrileiEVm000594t1	2.55450134786607	5.37613716469701	5.58005339846633	0.000000788332488970421	0.0000669047431548432	5.70928421755824	155908.639997637	up	UP
PrileiEVm009012t1	3.39771792709174	6.81760999658025	5.56718482718075	0.000000826216469848796	0.0000694187077966959	5.66292543542681	206679.992815378	up	UP
PrileiEVm002084t1	2.89206780629499	5.29628413109095	5.55533423066534	0.000000862693792950565	0.0000711534905333225	5.62432710629848	175379.136878595	up	UP
PrileiEVm001603t1	2.5684921290734	5.70811491155724	5.55498232531318	0.000000863801003856093	0.0000711534905333225	5.62276448557845	155742.736741495	up	UP
PrileiEVm017128t1	2.76156249955647	6.54273043646717	5.53772245313199	0.000000919866496114374	0.0000750361000034269	5.56227569944951	166695.512264716	up	UP
PrileiEVm031701t1	2.6172050103258	6.41594951427449	5.53098433693152	0.000000942717816967594	0.0000761607220977088	5.53932093591547	157702.783654442	up	UP
PrileiEVm010588t1	2.6456608880035	4.97667477675836	5.52128039643358	0.000000976616908623691	0.0000781479549167262	5.50788142899455	159011.515065805	up	UP
PrileiEVm014201t1	3.00186233211081	4.58127401981326	5.50259550359129	0.00000104531958998149	0.0000828563697643815	5.44419851971553	179533.908761524	up	UP
PrileiEVm018926t1	2.45827413631166	4.9717483420491	5.48853268387411	0.00000110015877777359	0.0000863881686995674	5.39578412617977	146477.361584378	up	UP
PrileiEVm009735t1	2.17985770834453	6.8411696302896	5.47859506682165	0.00000114061680071053	0.00008873576258861	5.35913475563734	129545.896945465	up	UP
PrileiEVm000736t1	1.94764426590662	7.27795322020322	5.47351833920736	0.00000116184917845078	0.0000895583192416832	5.3412354728143	115589.77048234	up	UP
PrileiEVm015875t1	2.7989987946127	5.45583414349576	5.46393402072647	0.00000120300396647116	0.0000913640918104198	5.31081868852452	165693.253655284	up	UP
PrileiEVm000446t1	3.24215945948504	5.33664937519855	5.46274035222564	0.00000120822938856437	0.0000913640918104198	5.30671986422532	191866.153183191	up	UP
PrileiEVm004442t1	3.58452774631575	5.27098207953044	5.46054511532798	0.00000121789791511152	0.0000913640918104198	5.29921614717811	212002.91878004	up	UP
